Quantity	Time Window	Window Start (Years)	Category	Second Category	Value
Similarity	2000-2500 Years	2000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.507
Similarity	2000-2500 Years	2000	Panxi and Liangshan	Sichuan Basin	0.4507
Similarity	2000-2500 Years	2000	Panxi and Liangshan	Southern Segment	0.2521
Similarity	2000-2500 Years	2000	Panxi and Liangshan	Western Highland	0.416
Similarity	2000-2500 Years	2000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.4234
Similarity	2000-2500 Years	2000	Qinghai-Tibet Plateau Core	Southern Segment	0.0676
Similarity	2000-2500 Years	2000	Qinghai-Tibet Plateau Core	Western Highland	0.8362
Similarity	2000-2500 Years	2000	Sichuan Basin	Southern Segment	0.2532
Similarity	2000-2500 Years	2000	Sichuan Basin	Western Highland	0.3448
Similarity	2000-2500 Years	2000	Southern Segment	Western Highland	0
Similarity	2500-3000 Years	2500	Central Segment	North China	0.2595
Similarity	2500-3000 Years	2500	Central Segment	Northern Segment	0.4049
Similarity	2500-3000 Years	2500	Central Segment	Panxi and Liangshan	0.7741
Similarity	2500-3000 Years	2500	Central Segment	Qinghai-Tibet Plateau Core	0.5261
Similarity	2500-3000 Years	2500	Central Segment	Sichuan Basin	0.1032
Similarity	2500-3000 Years	2500	Central Segment	Southern Segment	0.2451
Similarity	2500-3000 Years	2500	Central Segment	Western Highland	0.3896
Similarity	2500-3000 Years	2500	North China	Northern Segment	0.5869
Similarity	2500-3000 Years	2500	North China	Panxi and Liangshan	0.1341
Similarity	2500-3000 Years	2500	North China	Qinghai-Tibet Plateau Core	0.488
Similarity	2500-3000 Years	2500	North China	Sichuan Basin	0.73
Similarity	2500-3000 Years	2500	North China	Southern Segment	0.6981
Similarity	2500-3000 Years	2500	North China	Western Highland	0.4787
Similarity	2500-3000 Years	2500	Northern Segment	Panxi and Liangshan	0.2631
Similarity	2500-3000 Years	2500	Northern Segment	Qinghai-Tibet Plateau Core	0.759
Similarity	2500-3000 Years	2500	Northern Segment	Sichuan Basin	0.5032
Similarity	2500-3000 Years	2500	Northern Segment	Southern Segment	0.4907
Similarity	2500-3000 Years	2500	Northern Segment	Western Highland	0.7489
Similarity	2500-3000 Years	2500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.3953
Similarity	2500-3000 Years	2500	Panxi and Liangshan	Sichuan Basin	0
Similarity	2500-3000 Years	2500	Panxi and Liangshan	Southern Segment	0.1532
Similarity	2500-3000 Years	2500	Panxi and Liangshan	Western Highland	0.2741
Similarity	2500-3000 Years	2500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.3761
Similarity	2500-3000 Years	2500	Qinghai-Tibet Plateau Core	Southern Segment	0.4102
Similarity	2500-3000 Years	2500	Qinghai-Tibet Plateau Core	Western Highland	0.856
Similarity	2500-3000 Years	2500	Sichuan Basin	Southern Segment	0.7332
Similarity	2500-3000 Years	2500	Sichuan Basin	Western Highland	0.4079
Similarity	2500-3000 Years	2500	Southern Segment	Western Highland	0.3882
Similarity	3000-3500 Years	3000	Central Segment	North China	0.2165
Similarity	3000-3500 Years	3000	Central Segment	Northern Segment	0.6505
Similarity	3000-3500 Years	3000	Central Segment	Panxi and Liangshan	0.7015
Similarity	3000-3500 Years	3000	Central Segment	Qinghai-Tibet Plateau Core	0.7276
Similarity	3000-3500 Years	3000	Central Segment	Sichuan Basin	0.3912
Similarity	3000-3500 Years	3000	Central Segment	Southern Segment	0.1469
Similarity	3000-3500 Years	3000	Central Segment	Western Highland	0.6232
Similarity	3000-3500 Years	3000	North China	Northern Segment	0.4082
Similarity	3000-3500 Years	3000	North China	Panxi and Liangshan	0.1503
Similarity	3000-3500 Years	3000	North China	Qinghai-Tibet Plateau Core	0.2999
Similarity	3000-3500 Years	3000	North China	Sichuan Basin	0.3691
Similarity	3000-3500 Years	3000	North China	Southern Segment	0.393
Similarity	3000-3500 Years	3000	North China	Western Highland	0.2978
Similarity	3000-3500 Years	3000	Northern Segment	Panxi and Liangshan	0.4322
Similarity	3000-3500 Years	3000	Northern Segment	Qinghai-Tibet Plateau Core	0.7469
Similarity	3000-3500 Years	3000	Northern Segment	Sichuan Basin	0.6672
Similarity	3000-3500 Years	3000	Northern Segment	Southern Segment	0.4362
Similarity	3000-3500 Years	3000	Northern Segment	Western Highland	0.7044
Similarity	3000-3500 Years	3000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.5249
Similarity	3000-3500 Years	3000	Panxi and Liangshan	Sichuan Basin	0.2279
Similarity	3000-3500 Years	3000	Panxi and Liangshan	Southern Segment	0
Similarity	3000-3500 Years	3000	Panxi and Liangshan	Western Highland	0.4454
Similarity	3000-3500 Years	3000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.5104
Similarity	3000-3500 Years	3000	Qinghai-Tibet Plateau Core	Southern Segment	0.2975
Similarity	3000-3500 Years	3000	Qinghai-Tibet Plateau Core	Western Highland	0.8928
Similarity	3000-3500 Years	3000	Sichuan Basin	Southern Segment	0.6851
Similarity	3000-3500 Years	3000	Sichuan Basin	Western Highland	0.5239
Similarity	3000-3500 Years	3000	Southern Segment	Western Highland	0.3356
Similarity	3500-4000 Years	3500	Central Segment	North China	0.227
Similarity	3500-4000 Years	3500	Central Segment	Northern Segment	0.5358
Similarity	3500-4000 Years	3500	Central Segment	Panxi and Liangshan	0.8808
Similarity	3500-4000 Years	3500	Central Segment	Qinghai-Tibet Plateau Core	0.5211
Similarity	3500-4000 Years	3500	Central Segment	Sichuan Basin	0.2654
Similarity	3500-4000 Years	3500	Central Segment	Southern Segment	0.4493
Similarity	3500-4000 Years	3500	Central Segment	Western Highland	0.4838
Similarity	3500-4000 Years	3500	North China	Northern Segment	0.4653
Similarity	3500-4000 Years	3500	North China	Panxi and Liangshan	0.1535
Similarity	3500-4000 Years	3500	North China	Qinghai-Tibet Plateau Core	0.3282
Similarity	3500-4000 Years	3500	North China	Sichuan Basin	0
Similarity	3500-4000 Years	3500	North China	Southern Segment	0.2671
Similarity	3500-4000 Years	3500	North China	Western Highland	0.2995
Similarity	3500-4000 Years	3500	Northern Segment	Panxi and Liangshan	0.4917
Similarity	3500-4000 Years	3500	Northern Segment	Qinghai-Tibet Plateau Core	0.727
Similarity	3500-4000 Years	3500	Northern Segment	Sichuan Basin	0.3454
Similarity	3500-4000 Years	3500	Northern Segment	Southern Segment	0.6342
Similarity	3500-4000 Years	3500	Northern Segment	Western Highland	0.6537
Similarity	3500-4000 Years	3500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.5175
Similarity	3500-4000 Years	3500	Panxi and Liangshan	Sichuan Basin	0.3152
Similarity	3500-4000 Years	3500	Panxi and Liangshan	Southern Segment	0.4739
Similarity	3500-4000 Years	3500	Panxi and Liangshan	Western Highland	0.4863
Similarity	3500-4000 Years	3500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.3266
Similarity	3500-4000 Years	3500	Qinghai-Tibet Plateau Core	Southern Segment	0.5854
Similarity	3500-4000 Years	3500	Qinghai-Tibet Plateau Core	Western Highland	0.9143
Similarity	3500-4000 Years	3500	Sichuan Basin	Southern Segment	0.6325
Similarity	3500-4000 Years	3500	Sichuan Basin	Western Highland	0.2926
Similarity	3500-4000 Years	3500	Southern Segment	Western Highland	0.5446
Similarity	4000-4500 Years	4000	Central Segment	North China	0.376
Similarity	4000-4500 Years	4000	Central Segment	Northern Segment	0.9097
Similarity	4000-4500 Years	4000	Central Segment	Panxi and Liangshan	0.9335
Similarity	4000-4500 Years	4000	Central Segment	Qinghai-Tibet Plateau Core	0.7609
Similarity	4000-4500 Years	4000	Central Segment	Sichuan Basin	0.4085
Similarity	4000-4500 Years	4000	Central Segment	Southern Segment	0.2571
Similarity	4000-4500 Years	4000	Central Segment	Western Highland	0.7165
Similarity	4000-4500 Years	4000	North China	Northern Segment	0.3549
Similarity	4000-4500 Years	4000	North China	Panxi and Liangshan	0.3818
Similarity	4000-4500 Years	4000	North China	Qinghai-Tibet Plateau Core	0.2732
Similarity	4000-4500 Years	4000	North China	Sichuan Basin	0.053
Similarity	4000-4500 Years	4000	North China	Southern Segment	0
Similarity	4000-4500 Years	4000	North China	Western Highland	0.2575
Similarity	4000-4500 Years	4000	Northern Segment	Panxi and Liangshan	0.8531
Similarity	4000-4500 Years	4000	Northern Segment	Qinghai-Tibet Plateau Core	0.7517
Similarity	4000-4500 Years	4000	Northern Segment	Sichuan Basin	0.4445
Similarity	4000-4500 Years	4000	Northern Segment	Southern Segment	0.2882
Similarity	4000-4500 Years	4000	Northern Segment	Western Highland	0.6972
Similarity	4000-4500 Years	4000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.76
Similarity	4000-4500 Years	4000	Panxi and Liangshan	Sichuan Basin	0.3776
Similarity	4000-4500 Years	4000	Panxi and Liangshan	Southern Segment	0.2305
Similarity	4000-4500 Years	4000	Panxi and Liangshan	Western Highland	0.7235
Similarity	4000-4500 Years	4000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.4206
Similarity	4000-4500 Years	4000	Qinghai-Tibet Plateau Core	Southern Segment	0.3187
Similarity	4000-4500 Years	4000	Qinghai-Tibet Plateau Core	Western Highland	0.9364
Similarity	4000-4500 Years	4000	Sichuan Basin	Southern Segment	0.7346
Similarity	4000-4500 Years	4000	Sichuan Basin	Western Highland	0.3755
Similarity	4000-4500 Years	4000	Southern Segment	Western Highland	0.2871
Similarity	4500-5000 Years	4500	Central Segment	North China	0.249
Similarity	4500-5000 Years	4500	Central Segment	Northern Segment	0.7993
Similarity	4500-5000 Years	4500	Central Segment	Panxi and Liangshan	0.8239
Similarity	4500-5000 Years	4500	Central Segment	Qinghai-Tibet Plateau Core	0.662
Similarity	4500-5000 Years	4500	Central Segment	Sichuan Basin	0.5666
Similarity	4500-5000 Years	4500	Central Segment	Southern Segment	0.7011
Similarity	4500-5000 Years	4500	Central Segment	Western Highland	0.6484
Similarity	4500-5000 Years	4500	North China	Northern Segment	0.36
Similarity	4500-5000 Years	4500	North China	Panxi and Liangshan	0.2992
Similarity	4500-5000 Years	4500	North China	Qinghai-Tibet Plateau Core	0.4108
Similarity	4500-5000 Years	4500	North China	Sichuan Basin	0
Similarity	4500-5000 Years	4500	North China	Southern Segment	0.2187
Similarity	4500-5000 Years	4500	North China	Western Highland	0.3903
Similarity	4500-5000 Years	4500	Northern Segment	Panxi and Liangshan	0.7173
Similarity	4500-5000 Years	4500	Northern Segment	Qinghai-Tibet Plateau Core	0.7794
Similarity	4500-5000 Years	4500	Northern Segment	Sichuan Basin	0.4381
Similarity	4500-5000 Years	4500	Northern Segment	Southern Segment	0.6755
Similarity	4500-5000 Years	4500	Northern Segment	Western Highland	0.7371
Similarity	4500-5000 Years	4500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.6171
Similarity	4500-5000 Years	4500	Panxi and Liangshan	Sichuan Basin	0.5223
Similarity	4500-5000 Years	4500	Panxi and Liangshan	Southern Segment	0.6306
Similarity	4500-5000 Years	4500	Panxi and Liangshan	Western Highland	0.6098
Similarity	4500-5000 Years	4500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.2665
Similarity	4500-5000 Years	4500	Qinghai-Tibet Plateau Core	Southern Segment	0.5013
Similarity	4500-5000 Years	4500	Qinghai-Tibet Plateau Core	Western Highland	0.9411
Similarity	4500-5000 Years	4500	Sichuan Basin	Southern Segment	0.6845
Similarity	4500-5000 Years	4500	Sichuan Basin	Western Highland	0.2463
Similarity	4500-5000 Years	4500	Southern Segment	Western Highland	0.4703
Similarity	5000-5500 Years	5000	Central Segment	North China	0.3698
Similarity	5000-5500 Years	5000	Central Segment	Northern Segment	0.6385
Similarity	5000-5500 Years	5000	Central Segment	Panxi and Liangshan	0.5795
Similarity	5000-5500 Years	5000	Central Segment	Qinghai-Tibet Plateau Core	0.6881
Similarity	5000-5500 Years	5000	Central Segment	Sichuan Basin	0.3995
Similarity	5000-5500 Years	5000	Central Segment	Southern Segment	0.4692
Similarity	5000-5500 Years	5000	Central Segment	Western Highland	0.705
Similarity	5000-5500 Years	5000	North China	Northern Segment	0.5127
Similarity	5000-5500 Years	5000	North China	Panxi and Liangshan	0.4339
Similarity	5000-5500 Years	5000	North China	Qinghai-Tibet Plateau Core	0.5603
Similarity	5000-5500 Years	5000	North China	Sichuan Basin	0.1545
Similarity	5000-5500 Years	5000	North China	Southern Segment	0
Similarity	5000-5500 Years	5000	North China	Western Highland	0.3901
Similarity	5000-5500 Years	5000	Northern Segment	Panxi and Liangshan	0.7327
Similarity	5000-5500 Years	5000	Northern Segment	Qinghai-Tibet Plateau Core	0.7125
Similarity	5000-5500 Years	5000	Northern Segment	Sichuan Basin	0.4882
Similarity	5000-5500 Years	5000	Northern Segment	Southern Segment	0.3273
Similarity	5000-5500 Years	5000	Northern Segment	Western Highland	0.5266
Similarity	5000-5500 Years	5000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.6711
Similarity	5000-5500 Years	5000	Panxi and Liangshan	Sichuan Basin	0.5402
Similarity	5000-5500 Years	5000	Panxi and Liangshan	Southern Segment	0.30620000000000003
Similarity	5000-5500 Years	5000	Panxi and Liangshan	Western Highland	0.4658
Similarity	5000-5500 Years	5000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.2938
Similarity	5000-5500 Years	5000	Qinghai-Tibet Plateau Core	Southern Segment	0.2084
Similarity	5000-5500 Years	5000	Qinghai-Tibet Plateau Core	Western Highland	0.7468
Similarity	5000-5500 Years	5000	Sichuan Basin	Southern Segment	0.567
Similarity	5000-5500 Years	5000	Sichuan Basin	Western Highland	0.1584
Similarity	5000-5500 Years	5000	Southern Segment	Western Highland	0.2013
Similarity	5500-6000 Years	5500	Central Segment	North China	0.1589
Similarity	5500-6000 Years	5500	Central Segment	Northern Segment	0.6901
Similarity	5500-6000 Years	5500	Central Segment	Panxi and Liangshan	0.5534
Similarity	5500-6000 Years	5500	Central Segment	Qinghai-Tibet Plateau Core	0.6348
Similarity	5500-6000 Years	5500	Central Segment	Sichuan Basin	0.3594
Similarity	5500-6000 Years	5500	Central Segment	Southern Segment	0.6742
Similarity	5500-6000 Years	5500	Central Segment	Western Highland	0.7014
Similarity	5500-6000 Years	5500	North China	Northern Segment	0.3382
Similarity	5500-6000 Years	5500	North China	Panxi and Liangshan	0.3823
Similarity	5500-6000 Years	5500	North China	Qinghai-Tibet Plateau Core	0.3168
Similarity	5500-6000 Years	5500	North China	Sichuan Basin	0.3976
Similarity	5500-6000 Years	5500	North China	Southern Segment	0
Similarity	5500-6000 Years	5500	North China	Western Highland	0.246
Similarity	5500-6000 Years	5500	Northern Segment	Panxi and Liangshan	0.7031
Similarity	5500-6000 Years	5500	Northern Segment	Qinghai-Tibet Plateau Core	0.7924
Similarity	5500-6000 Years	5500	Northern Segment	Sichuan Basin	0.5366
Similarity	5500-6000 Years	5500	Northern Segment	Southern Segment	0.4345
Similarity	5500-6000 Years	5500	Northern Segment	Western Highland	0.7204
Similarity	5500-6000 Years	5500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.7626
Similarity	5500-6000 Years	5500	Panxi and Liangshan	Sichuan Basin	0.4918
Similarity	5500-6000 Years	5500	Panxi and Liangshan	Southern Segment	0.2762
Similarity	5500-6000 Years	5500	Panxi and Liangshan	Western Highland	0.7007
Similarity	5500-6000 Years	5500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.517
Similarity	5500-6000 Years	5500	Qinghai-Tibet Plateau Core	Southern Segment	0.3369
Similarity	5500-6000 Years	5500	Qinghai-Tibet Plateau Core	Western Highland	0.8661
Similarity	5500-6000 Years	5500	Sichuan Basin	Southern Segment	0.2002
Similarity	5500-6000 Years	5500	Sichuan Basin	Western Highland	0.444
Similarity	5500-6000 Years	5500	Southern Segment	Western Highland	0.3999
Similarity	6000-6500 Years	6000	Central Segment	North China	0.2039
Similarity	6000-6500 Years	6000	Central Segment	Northern Segment	0.473
Similarity	6000-6500 Years	6000	Central Segment	Panxi and Liangshan	0.4987
Similarity	6000-6500 Years	6000	Central Segment	Qinghai-Tibet Plateau Core	0.4148
Similarity	6000-6500 Years	6000	Central Segment	Sichuan Basin	0
Similarity	6000-6500 Years	6000	Central Segment	Southern Segment	0.5278
Similarity	6000-6500 Years	6000	Central Segment	Western Highland	0.4585
Similarity	6000-6500 Years	6000	North China	Northern Segment	0.551
Similarity	6000-6500 Years	6000	North China	Panxi and Liangshan	0.5545
Similarity	6000-6500 Years	6000	North China	Qinghai-Tibet Plateau Core	0.4853
Similarity	6000-6500 Years	6000	North China	Sichuan Basin	0.4148
Similarity	6000-6500 Years	6000	North China	Southern Segment	0.3651
Similarity	6000-6500 Years	6000	North China	Western Highland	0.4272
Similarity	6000-6500 Years	6000	Northern Segment	Panxi and Liangshan	0.5198
Similarity	6000-6500 Years	6000	Northern Segment	Qinghai-Tibet Plateau Core	0.8092
Similarity	6000-6500 Years	6000	Northern Segment	Sichuan Basin	0.2436
Similarity	6000-6500 Years	6000	Northern Segment	Southern Segment	0.6017
Similarity	6000-6500 Years	6000	Northern Segment	Western Highland	0.7418
Similarity	6000-6500 Years	6000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.4931
Similarity	6000-6500 Years	6000	Panxi and Liangshan	Sichuan Basin	0.2429
Similarity	6000-6500 Years	6000	Panxi and Liangshan	Southern Segment	0.498
Similarity	6000-6500 Years	6000	Panxi and Liangshan	Western Highland	0.5068
Similarity	6000-6500 Years	6000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.2237
Similarity	6000-6500 Years	6000	Qinghai-Tibet Plateau Core	Southern Segment	0.5318
Similarity	6000-6500 Years	6000	Qinghai-Tibet Plateau Core	Western Highland	0.8987
Similarity	6000-6500 Years	6000	Sichuan Basin	Southern Segment	0.2826
Similarity	6000-6500 Years	6000	Sichuan Basin	Western Highland	0.1783
Similarity	6000-6500 Years	6000	Southern Segment	Western Highland	0.514
Similarity	6500-7000 Years	6500	Central Segment	North China	0.4721
Similarity	6500-7000 Years	6500	Central Segment	Northern Segment	0.7196
Similarity	6500-7000 Years	6500	Central Segment	Panxi and Liangshan	0.7192
Similarity	6500-7000 Years	6500	Central Segment	Qinghai-Tibet Plateau Core	0.8443
Similarity	6500-7000 Years	6500	Central Segment	Sichuan Basin	0.1484
Similarity	6500-7000 Years	6500	Central Segment	Southern Segment	0.724
Similarity	6500-7000 Years	6500	Central Segment	Western Highland	0.7815
Similarity	6500-7000 Years	6500	North China	Northern Segment	0.6622
Similarity	6500-7000 Years	6500	North China	Panxi and Liangshan	0.4989
Similarity	6500-7000 Years	6500	North China	Qinghai-Tibet Plateau Core	0.433
Similarity	6500-7000 Years	6500	North China	Sichuan Basin	0.4765
Similarity	6500-7000 Years	6500	North China	Southern Segment	0.5321
Similarity	6500-7000 Years	6500	North China	Western Highland	0.3547
Similarity	6500-7000 Years	6500	Northern Segment	Panxi and Liangshan	0.5864
Similarity	6500-7000 Years	6500	Northern Segment	Qinghai-Tibet Plateau Core	0.7447
Similarity	6500-7000 Years	6500	Northern Segment	Sichuan Basin	0.2223
Similarity	6500-7000 Years	6500	Northern Segment	Southern Segment	0.6695
Similarity	6500-7000 Years	6500	Northern Segment	Western Highland	0.6707
Similarity	6500-7000 Years	6500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.6172
Similarity	6500-7000 Years	6500	Panxi and Liangshan	Sichuan Basin	0.347
Similarity	6500-7000 Years	6500	Panxi and Liangshan	Southern Segment	0.7596
Similarity	6500-7000 Years	6500	Panxi and Liangshan	Western Highland	0.5434
Similarity	6500-7000 Years	6500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.0807
Similarity	6500-7000 Years	6500	Qinghai-Tibet Plateau Core	Southern Segment	0.6948
Similarity	6500-7000 Years	6500	Qinghai-Tibet Plateau Core	Western Highland	0.8933
Similarity	6500-7000 Years	6500	Sichuan Basin	Southern Segment	0.3297
Similarity	6500-7000 Years	6500	Sichuan Basin	Western Highland	0
Similarity	6500-7000 Years	6500	Southern Segment	Western Highland	0.6074
Similarity	7000-7500 Years	7000	Central Segment	North China	0.1438
Similarity	7000-7500 Years	7000	Central Segment	Northern Segment	0.5154
Similarity	7000-7500 Years	7000	Central Segment	Panxi and Liangshan	0.7733
Similarity	7000-7500 Years	7000	Central Segment	Qinghai-Tibet Plateau Core	0.916
Similarity	7000-7500 Years	7000	Central Segment	Sichuan Basin	0.1357
Similarity	7000-7500 Years	7000	Central Segment	Southern Segment	0.6828
Similarity	7000-7500 Years	7000	Central Segment	Western Highland	0.8205
Similarity	7000-7500 Years	7000	North China	Northern Segment	0.4583
Similarity	7000-7500 Years	7000	North China	Panxi and Liangshan	0.2285
Similarity	7000-7500 Years	7000	North China	Qinghai-Tibet Plateau Core	0.1287
Similarity	7000-7500 Years	7000	North China	Sichuan Basin	0.3305
Similarity	7000-7500 Years	7000	North China	Southern Segment	0.0647
Similarity	7000-7500 Years	7000	North China	Western Highland	0.0161
Similarity	7000-7500 Years	7000	Northern Segment	Panxi and Liangshan	0.4721
Similarity	7000-7500 Years	7000	Northern Segment	Qinghai-Tibet Plateau Core	0.5275
Similarity	7000-7500 Years	7000	Northern Segment	Sichuan Basin	0.1265
Similarity	7000-7500 Years	7000	Northern Segment	Southern Segment	0.4655
Similarity	7000-7500 Years	7000	Northern Segment	Western Highland	0.4405
Similarity	7000-7500 Years	7000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.7176
Similarity	7000-7500 Years	7000	Panxi and Liangshan	Sichuan Basin	0.2956
Similarity	7000-7500 Years	7000	Panxi and Liangshan	Southern Segment	0.5164
Similarity	7000-7500 Years	7000	Panxi and Liangshan	Western Highland	0.623
Similarity	7000-7500 Years	7000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.1155
Similarity	7000-7500 Years	7000	Qinghai-Tibet Plateau Core	Southern Segment	0.7471
Similarity	7000-7500 Years	7000	Qinghai-Tibet Plateau Core	Western Highland	0.8511
Similarity	7000-7500 Years	7000	Sichuan Basin	Southern Segment	0.0567
Similarity	7000-7500 Years	7000	Sichuan Basin	Western Highland	0
Similarity	7000-7500 Years	7000	Southern Segment	Western Highland	0.7297
Similarity	7500-8000 Years	7500	Central Segment	North China	0.5049
Similarity	7500-8000 Years	7500	Central Segment	Northern Segment	0.7817
Similarity	7500-8000 Years	7500	Central Segment	Panxi and Liangshan	0.8061
Similarity	7500-8000 Years	7500	Central Segment	Qinghai-Tibet Plateau Core	0.797
Similarity	7500-8000 Years	7500	Central Segment	Sichuan Basin	0.5455
Similarity	7500-8000 Years	7500	Central Segment	Southern Segment	0.18
Similarity	7500-8000 Years	7500	Central Segment	Western Highland	0.6928
Similarity	7500-8000 Years	7500	North China	Northern Segment	0.6478
Similarity	7500-8000 Years	7500	North China	Panxi and Liangshan	0.4584
Similarity	7500-8000 Years	7500	North China	Qinghai-Tibet Plateau Core	0.4676
Similarity	7500-8000 Years	7500	North China	Sichuan Basin	0.3799
Similarity	7500-8000 Years	7500	North China	Southern Segment	0
Similarity	7500-8000 Years	7500	North China	Western Highland	0.3317
Similarity	7500-8000 Years	7500	Northern Segment	Panxi and Liangshan	0.6785
Similarity	7500-8000 Years	7500	Northern Segment	Qinghai-Tibet Plateau Core	0.7338
Similarity	7500-8000 Years	7500	Northern Segment	Sichuan Basin	0.598
Similarity	7500-8000 Years	7500	Northern Segment	Southern Segment	0.1996
Similarity	7500-8000 Years	7500	Northern Segment	Western Highland	0.5957
Similarity	7500-8000 Years	7500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.8631
Similarity	7500-8000 Years	7500	Panxi and Liangshan	Sichuan Basin	0.5524
Similarity	7500-8000 Years	7500	Panxi and Liangshan	Southern Segment	0.218
Similarity	7500-8000 Years	7500	Panxi and Liangshan	Western Highland	0.738
Similarity	7500-8000 Years	7500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.6555
Similarity	7500-8000 Years	7500	Qinghai-Tibet Plateau Core	Southern Segment	0.3139
Similarity	7500-8000 Years	7500	Qinghai-Tibet Plateau Core	Western Highland	0.7857
Similarity	7500-8000 Years	7500	Sichuan Basin	Southern Segment	0.5004
Similarity	7500-8000 Years	7500	Sichuan Basin	Western Highland	0.5986
Similarity	7500-8000 Years	7500	Southern Segment	Western Highland	0.423
Similarity	8000-8500 Years	8000	Central Segment	North China	0.4286
Similarity	8000-8500 Years	8000	Central Segment	Northern Segment	0.7499
Similarity	8000-8500 Years	8000	Central Segment	Panxi and Liangshan	0.5821
Similarity	8000-8500 Years	8000	Central Segment	Qinghai-Tibet Plateau Core	0.7052
Similarity	8000-8500 Years	8000	Central Segment	Sichuan Basin	0.1923
Similarity	8000-8500 Years	8000	Central Segment	Southern Segment	0.1704
Similarity	8000-8500 Years	8000	Central Segment	Western Highland	0.4007
Similarity	8000-8500 Years	8000	North China	Northern Segment	0.4834
Similarity	8000-8500 Years	8000	North China	Panxi and Liangshan	0.3497
Similarity	8000-8500 Years	8000	North China	Qinghai-Tibet Plateau Core	0.2834
Similarity	8000-8500 Years	8000	North China	Sichuan Basin	0.3231
Similarity	8000-8500 Years	8000	North China	Southern Segment	0.2283
Similarity	8000-8500 Years	8000	North China	Western Highland	0
Similarity	8000-8500 Years	8000	Northern Segment	Panxi and Liangshan	0.4611
Similarity	8000-8500 Years	8000	Northern Segment	Qinghai-Tibet Plateau Core	0.6604
Similarity	8000-8500 Years	8000	Northern Segment	Sichuan Basin	0.2343
Similarity	8000-8500 Years	8000	Northern Segment	Southern Segment	0.2355
Similarity	8000-8500 Years	8000	Northern Segment	Western Highland	0.3559
Similarity	8000-8500 Years	8000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.6154
Similarity	8000-8500 Years	8000	Panxi and Liangshan	Sichuan Basin	0.3633
Similarity	8000-8500 Years	8000	Panxi and Liangshan	Southern Segment	0.2826
Similarity	8000-8500 Years	8000	Panxi and Liangshan	Western Highland	0.4535
Similarity	8000-8500 Years	8000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.2704
Similarity	8000-8500 Years	8000	Qinghai-Tibet Plateau Core	Southern Segment	0.2828
Similarity	8000-8500 Years	8000	Qinghai-Tibet Plateau Core	Western Highland	0.6804
Similarity	8000-8500 Years	8000	Sichuan Basin	Southern Segment	0.7717
Similarity	8000-8500 Years	8000	Sichuan Basin	Western Highland	0.1631
Similarity	8000-8500 Years	8000	Southern Segment	Western Highland	0.2111
Similarity	8500-9000 Years	8500	Central Segment	North China	0.086
Similarity	8500-9000 Years	8500	Central Segment	Northern Segment	0.6284
Similarity	8500-9000 Years	8500	Central Segment	Panxi and Liangshan	0.8094
Similarity	8500-9000 Years	8500	Central Segment	Qinghai-Tibet Plateau Core	0.5995
Similarity	8500-9000 Years	8500	Central Segment	Sichuan Basin	0.2489
Similarity	8500-9000 Years	8500	Central Segment	Southern Segment	0.1593
Similarity	8500-9000 Years	8500	Central Segment	Western Highland	0.2582
Similarity	8500-9000 Years	8500	North China	Northern Segment	0.3311
Similarity	8500-9000 Years	8500	North China	Panxi and Liangshan	0
Similarity	8500-9000 Years	8500	North China	Qinghai-Tibet Plateau Core	0.0764
Similarity	8500-9000 Years	8500	North China	Sichuan Basin	0.5155
Similarity	8500-9000 Years	8500	North China	Southern Segment	0.4121
Similarity	8500-9000 Years	8500	North China	Western Highland	0.1392
Similarity	8500-9000 Years	8500	Northern Segment	Panxi and Liangshan	0.4968
Similarity	8500-9000 Years	8500	Northern Segment	Qinghai-Tibet Plateau Core	0.5335
Similarity	8500-9000 Years	8500	Northern Segment	Sichuan Basin	0.5118
Similarity	8500-9000 Years	8500	Northern Segment	Southern Segment	0.429
Similarity	8500-9000 Years	8500	Northern Segment	Western Highland	0.2609
